,topic_id,correct_stance,doc_id,target,prediction,bm25_score,unhelpful_probability,helpful_probability,url
0,152,dummy stance,en.noclean.c4-train.06661-of-07168.112138,0,0,8.400400161743164,0.84882224,0.15117773,https://www.themystica.com/healing-crystals/
1,152,dummy stance,en.noclean.c4-train.02823-of-07168.6372,0,1,8.378199577331543,0.044337813,0.9556622,http://www.alakik.net/blog/
2,152,dummy stance,en.noclean.c4-train.00066-of-07168.41334,0,1,8.378000259399414,0.023336854,0.9766632,https://meanings.crystalsandjewelry.com/rehealing-self-healing-crystal/
3,152,dummy stance,en.noclean.c4-train.02883-of-07168.126042,0,1,8.373499870300293,0.05914127,0.9408587,https://remedygrove.com/bodywork/
4,152,dummy stance,en.noclean.c4-train.04925-of-07168.144237,0,1,8.372400283813477,0.044563435,0.9554366,https://www.psychicsource.com/energy-healing/crystals
5,152,dummy stance,en.noclean.c4-train.04199-of-07168.93966,0,1,8.36299991607666,0.024643825,0.97535616,http://www.gemmasgemstones.com/
6,152,dummy stance,en.noclean.c4-train.01072-of-07168.71586,0,1,8.358799934387207,0.047171403,0.95282865,https://jet-international.co.in/index.php/healing-wands-sticks/chakra-wands.html?p=4
7,152,dummy stance,en.noclean.c4-train.07058-of-07168.147343,0,1,8.356200218200684,0.041815814,0.9581841,https://jet-international.co.in/index.php/healing-wands-sticks/chakra-wands.html?p=2
8,152,dummy stance,en.noclean.c4-train.02690-of-07168.105415,0,1,8.351699829101562,0.015444558,0.9845554,https://enerchivibes.co.uk/spirit/crystal-healing
9,152,dummy stance,en.noclean.c4-train.05720-of-07168.128387,0,0,8.349100112915039,0.9488854,0.051114623,https://how-to-avoid-hysterectomy.com/crystal-healing.html
10,152,dummy stance,en.noclean.c4-train.01350-of-07168.107412,0,1,8.348299980163574,0.040543575,0.9594564,https://jet-international.co.in/index.php/healing-wands-sticks/chakra-wands.html?mode=list
11,152,dummy stance,en.noclean.c4-train.02089-of-07168.127540,0,1,8.348199844360352,0.037667412,0.9623326,http://crystalhealingshop.com/how-to-use-crystals/
12,152,dummy stance,en.noclean.c4-train.06203-of-07168.96810,0,1,8.348099708557129,0.03489405,0.9651059,https://www.psychicguild.com/spirituality/healing/crystal/
13,152,dummy stance,en.noclean.c4-train.04229-of-07168.90263,0,0,8.344499588012695,0.9580808,0.041919205,https://how-to-avoid-hysterectomy.com/blog/crystal-healing/
