,topic_id,correct_stance,doc_id,target,prediction,bm25_score,unhelpful_probability,helpful_probability,url
0,180,dummy stance,en.noclean.c4-train.02158-of-07168.89410,0,1,15.109600067138672,0.10131591,0.89868414,https://shawneeoptical.wordpress.com/tag/cataract-prevention/
1,180,dummy stance,en.noclean.c4-train.03101-of-07168.138392,0,1,15.09689998626709,0.068520874,0.93147916,https://shawneeoptical.wordpress.com/tag/cataracts/
2,180,dummy stance,en.noclean.c4-train.01774-of-07168.85757,0,0,14.969599723815918,0.5560576,0.44394246,https://www.zeiss.co.uk/vision-care/better-vision/health-prevention/moderate-to-dense-cataract.html
3,180,dummy stance,en.noclean.c4-train.05573-of-07168.48045,0,1,14.807100296020508,0.21451613,0.7854839,https://www.allaboutvision.com/conditions/cataracts.htm
4,180,dummy stance,en.noclean.c4-train.02169-of-07168.95222,0,1,14.784000396728516,0.034941133,0.96505886,https://coupononlinecodes.net/lentiamo-coupon-lists/
5,180,dummy stance,en.noclean.c4-train.01503-of-07168.34404,0,1,14.77280044555664,0.041171577,0.95882845,https://www.aaeyes.net/tag/sunglasses/
6,180,dummy stance,en.noclean.c4-train.03599-of-07168.143935,0,1,14.72089958190918,0.07500367,0.9249964,https://shawneeoptical.wordpress.com/tag/preventing-macular-degeneration/
7,180,dummy stance,en.noclean.c4-train.06519-of-07168.141814,0,1,14.720898628234863,0.07690124,0.92309874,https://shawneeoptical.wordpress.com/tag/macular-degeneration-prevention/
8,180,dummy stance,en.noclean.c4-train.04400-of-07168.68720,0,1,14.719200134277344,0.20497999,0.79502004,https://www.allaboutvision.com/nutrition/cataracts.htm
9,180,dummy stance,en.noclean.c4-train.00337-of-07168.45264,0,1,14.715900421142578,0.41856855,0.58143145,https://www.zeiss.com.sg/vision-care/better-vision/health-prevention/moderate-to-dense-cataract.html
10,180,dummy stance,en.noclean.c4-train.01353-of-07168.104027,0,1,14.648200035095217,0.019203207,0.9807968,https://coupononlinecodes.net/lentiamo-coupon/
11,180,dummy stance,en.noclean.c4-train.06326-of-07168.63035,0,1,14.625399589538574,0.042879324,0.9571207,https://www.seeta-eye-care-center.com/blog/cataract-awareness-month-assessing-your-risks.html
12,180,dummy stance,en.noclean.c4-train.03673-of-07168.29242,0,1,14.61750030517578,0.2239537,0.7760464,https://www.everydayhealth.com/cataracts/prevention/
13,180,dummy stance,en.noclean.c4-train.00666-of-07168.17768,0,1,14.617199897766112,0.09785974,0.90214026,https://shawneeoptical.wordpress.com/tag/macular-degeneration/
14,180,dummy stance,en.noclean.c4-train.04040-of-07168.90594,0,0,14.597900390625,0.71570593,0.28429407,http://www.eyespyoptometry.com/blog-source/tag/UV+light
15,180,dummy stance,en.noclean.c4-train.00653-of-07168.138200,0,1,14.595800399780272,0.11033452,0.8896655,https://www.naturaleyecare.com/blog/sun-protection-eye-injuries-cataracts-armd-surfers/
16,180,dummy stance,en.noclean.c4-train.01673-of-07168.41739,0,1,14.561800003051758,0.1436527,0.8563473,https://www.allaboutvision.com/nutrition/vitamin_e.htm
17,180,dummy stance,en.noclean.c4-train.04445-of-07168.78608,0,1,14.561699867248535,0.13831156,0.8616884,https://www.seeta-eye-care-center.com/blog?page=6
18,180,dummy stance,en.noclean.c4-train.02915-of-07168.19412,0,0,14.54930019378662,0.9737858,0.02621415,http://www.eyespyoptometry.com/blog-source/tag/Cataract
19,180,dummy stance,en.noclean.c4-train.01873-of-07168.109681,0,1,14.531499862670898,0.019955363,0.98004466,https://www.lybrate.com/gurgaon/clinic/columbia-asia-hospital-palam-vihar-sec-23-409f?lpt=PS-SRP
20,180,dummy stance,en.noclean.c4-train.05790-of-07168.78858,0,1,14.523799896240234,0.065167576,0.9348324,https://dailyhealthalerts.com/sunglasses-may-protect-against-macular-degeneration-cataracts-and-glaucoma/
21,180,dummy stance,en.noclean.c4-train.05347-of-07168.37996,0,1,14.516900062561035,0.05702903,0.94297093,https://www.aaeyes.net/tag/cataracts/
22,180,dummy stance,en.noclean.c4-train.03435-of-07168.92847,0,1,14.509900093078612,0.06816956,0.93183047,https://www.scribd.com/document/149476781/Detecting-Eye-Diseases-and-Conditions
23,180,dummy stance,en.noclean.c4-train.00628-of-07168.63214,0,0,14.4975004196167,0.51805866,0.4819413,https://www.zeiss.com.hk/vision-care/en/better-vision/health-prevention/glaucoma-cataract-amd-etc-eye-diseases-and-how-to-catch-them-in-time.html
24,180,dummy stance,en.noclean.c4-train.01686-of-07168.101299,0,1,14.491499900817873,0.062695384,0.9373046,https://www.visionpros.com/giving-back
