,topic_id,correct_stance,doc_id,target,prediction,bm25_score,unhelpful_probability,helpful_probability,url
0,183,dummy stance,en.noclean.c4-train.03032-of-07168.73360,0,0,16.32900047302246,0.9992262,0.00077376456,http://www.thebody.com/Forums/AIDS/SafeSex/Q209165.html
1,183,dummy stance,en.noclean.c4-train.01531-of-07168.12387,0,0,16.191999435424805,0.9992582,0.0007417727,https://www.healthline.com/health/is-hiv-transmitted-through-kissing
2,183,dummy stance,en.noclean.c4-train.03107-of-07168.147595,0,0,16.176799774169922,0.9990482,0.00095184846,http://www.thebody.com/Forums/AIDS/SafeSex/Q199338.html
3,183,dummy stance,en.noclean.c4-train.04109-of-07168.59326,0,0,16.162799835205078,0.9986259,0.001374192,http://www.thebody.com/Forums/AIDS/SafeSex/Q191864.html
4,183,dummy stance,en.noclean.c4-train.06071-of-07168.82143,0,0,16.137399673461914,0.9988398,0.0011602257,http://www.thebody.com/Forums/AIDS/SafeSex/Q197327.html
5,183,dummy stance,en.noclean.c4-train.05531-of-07168.37888,0,0,16.136999130249023,0.99829406,0.0017059034,http://www.thebody.com/Forums/AIDS/SafeSex/Q188560.html
6,183,dummy stance,en.noclean.c4-train.03161-of-07168.38535,0,0,16.123300552368164,0.9986873,0.0013126238,http://www.thebody.com/Forums/AIDS/SafeSex/Q192903.html
7,183,dummy stance,en.noclean.c4-train.02178-of-07168.109493,0,0,16.115299224853516,0.99824584,0.0017541392,http://www.thebody.com/Forums/AIDS/SafeSex/Q202168.html
8,183,dummy stance,en.noclean.c4-train.01327-of-07168.128474,0,0,15.577699661254885,0.9995689,0.00043108643,http://www.thebody.com/h/is-excessive-sweating-an-hiv-symptom.html
9,183,dummy stance,en.noclean.c4-train.03813-of-07168.127158,0,0,15.467499732971191,0.9996488,0.0003511368,https://www.medicalnewstoday.com/articles/323847.php?sr
10,183,dummy stance,en.noclean.c4-train.02137-of-07168.119628,0,0,15.465499877929688,0.99975246,0.00024754988,https://www.medicalnewstoday.com/articles/323847.php
11,183,dummy stance,en.noclean.c4-train.06642-of-07168.64031,0,0,15.318499565124512,0.9993637,0.0006363113,http://www.thebody.com/content/art50252.html
12,183,dummy stance,en.noclean.c4-train.01138-of-07168.15239,0,0,15.191499710083008,0.7839779,0.21602201,https://cpoe.org/hiv-aids/
13,183,dummy stance,en.noclean.c4-train.05159-of-07168.28038,0,0,15.185799598693848,0.99961156,0.0003884957,https://forum.cosmoquest.org/archive/index.php/t-33112.html?s=be3c94e345b1f3b57a91771ec8365924
14,183,dummy stance,en.noclean.c4-train.01923-of-07168.126469,0,0,15.148099899291992,0.9955844,0.0044156257,http://www.thebody.com/Forums/AIDS/SafeSex/Q236725.html?ic=4003
15,183,dummy stance,en.noclean.c4-train.02288-of-07168.88515,0,0,15.13700008392334,0.9983504,0.0016496102,https://hivcare.org/hiv-transmission/
16,183,dummy stance,en.noclean.c4-train.05870-of-07168.20758,0,0,15.133999824523926,0.9622344,0.037765607,http://hiv210.org/what-is-hiv/
17,183,dummy stance,en.noclean.c4-train.05845-of-07168.42466,0,0,15.125300407409668,0.9871924,0.012807606,http://www.thebody.com/h/can-HIV-be-transmitted-through-vaginal-fluid.html
18,183,dummy stance,en.noclean.c4-train.00893-of-07168.40202,0,0,15.02180004119873,0.84956753,0.15043248,https://www.medicalnewstoday.com/articles/311323.php
19,183,dummy stance,en.noclean.c4-train.02477-of-07168.93776,0,0,15.006099700927734,0.9994387,0.0005612422,http://www.madisonadoption.org/special-needs-hiv/
20,183,dummy stance,en.noclean.c4-train.06948-of-07168.46083,0,0,15.00059986114502,0.99924266,0.0007572994,http://www.adoptspecialneeds.org/special-needs/infectious-diseases/
21,183,dummy stance,en.noclean.c4-train.01507-of-07168.30357,0,0,14.991900444030762,0.68810004,0.3119,http://allods-zone.ru/12510-std-associated-with-weight-loss.php
22,183,dummy stance,en.noclean.c4-train.06356-of-07168.105986,0,0,14.97819995880127,0.9928477,0.007152342,http://www.thebody.com/h/are-white-feces-a-hepatitis-symptom.html
23,183,dummy stance,en.noclean.c4-train.04806-of-07168.80321,0,0,14.972900390625,0.842133,0.15786695,https://indabahiv.com.au/living-with-hiv/learn-about-hiv/
24,183,dummy stance,en.noclean.c4-train.00687-of-07168.59763,0,0,14.968700408935549,0.9985611,0.001438945,http://bphc.org/whatwedo/infectious-diseases/Infectious-Diseases-A-to-Z/Pages/HIV.aspx
25,183,dummy stance,en.noclean.c4-train.00435-of-07168.52587,0,0,14.96720027923584,0.5655101,0.43448988,http://cuoihoi.info/news-facts/10-early-signs-and-symptoms-of-hiv.html/3
26,183,dummy stance,en.noclean.c4-train.01660-of-07168.2214,0,1,14.964400291442873,0.46413696,0.53586304,https://www.top10homeremedies.com/news-facts/10-early-signs-and-symptoms-of-hiv.html
27,183,dummy stance,en.noclean.c4-train.03538-of-07168.64249,0,0,14.964399337768556,0.57054657,0.42945343,http://cuoihoi.info/news-facts/10-early-signs-and-symptoms-of-hiv.html
28,183,dummy stance,en.noclean.c4-train.00780-of-07168.3570,0,0,14.934800148010254,0.99705756,0.0029425134,https://neverpest.com/why-mosquitoes-cannot-transmit-hiv/
29,183,dummy stance,en.noclean.c4-train.00872-of-07168.146401,0,0,14.92080020904541,0.9985862,0.0014138806,http://minuttest.no/en/stay-safe/
30,183,dummy stance,en.noclean.c4-train.06762-of-07168.85470,0,0,14.916000366210938,0.8146238,0.18537621,https://www.curejoy.com/content/hiv-myths-and-facts/
31,183,dummy stance,en.noclean.c4-train.02944-of-07168.24445,0,0,14.904800415039062,0.9975702,0.0024298204,http://lp.medicalnewstoday.com/articles/315928.php
32,183,dummy stance,en.noclean.c4-train.04302-of-07168.52464,0,0,14.904199600219728,0.99979836,0.00020171609,http://www.thebody.com/h/saliva-contact-with-open-wound.html
33,183,dummy stance,en.noclean.c4-train.04958-of-07168.68421,0,0,14.901900291442873,0.98129725,0.018702684,https://www.medicalnewstoday.com/articles/311323.php?sr
34,183,dummy stance,en.noclean.c4-train.01116-of-07168.72217,0,0,14.898599624633787,0.8964072,0.10359281,http://northeastpahiv.org/about-hiv/
35,183,dummy stance,en.noclean.c4-train.01969-of-07168.66307,0,0,14.89739990234375,0.99043405,0.009565993,https://lp.medicalnewstoday.com/articles/311323.php
36,183,dummy stance,en.noclean.c4-train.01059-of-07168.22898,0,0,14.88819980621338,0.99963605,0.0003639306,https://www.thepracticalpatient.com/blog/2018/6/19/hiv-and-aids-heres-the-difference
37,183,dummy stance,en.noclean.c4-train.05830-of-07168.139783,0,0,14.885000228881836,0.99972993,0.00027008387,http://www.gov.bw/en/Ministries--Authorities/Ministries/State-President/National-AIDS-Coordinating-Agency-NACA1/FAQ-NACA/HIV-Transmission/
38,183,dummy stance,en.noclean.c4-train.00400-of-07168.143219,0,0,14.863300323486328,0.9808734,0.019126596,http://www.rxwiki.com/condition/human-immunodeficiency-virus-hiv
39,183,dummy stance,en.noclean.c4-train.00406-of-07168.82522,0,0,14.863299369812012,0.99730885,0.002691137,https://www.medicineshoppe.com/condition/human-immunodeficiency-virus-hiv?treatments
40,183,dummy stance,en.noclean.c4-train.01856-of-07168.91523,0,0,14.863298416137695,0.99730885,0.002691137,https://www.medicineshoppe.com/condition/human-immunodeficiency-virus-hiv?symptoms
41,183,dummy stance,en.noclean.c4-train.03098-of-07168.33966,0,0,14.86329746246338,0.9963852,0.0036148352,https://www.medicap.com/condition/human-immunodeficiency-virus-hiv
42,183,dummy stance,en.noclean.c4-train.06242-of-07168.128774,0,0,14.863296508789062,0.99730885,0.002691137,https://www.medicineshoppe.com/condition/human-immunodeficiency-virus-hiv?prognosis
43,183,dummy stance,en.noclean.c4-train.06456-of-07168.12753,0,0,14.863295555114746,0.9808734,0.019126596,http://feeds.rxwiki.com/condition/human-immunodeficiency-virus-hiv
44,183,dummy stance,en.noclean.c4-train.06655-of-07168.26919,0,0,14.86329460144043,0.99730885,0.002691137,https://www.medicineshoppe.com/condition/human-immunodeficiency-virus-hiv
45,183,dummy stance,en.noclean.c4-train.06681-of-07168.122989,0,0,14.863293647766112,0.99730885,0.002691137,https://www.medicineshoppe.com/condition/human-immunodeficiency-virus-hiv?living-with
46,183,dummy stance,en.noclean.c4-train.03100-of-07168.81554,0,0,14.861499786376951,0.912325,0.08767495,https://www.medicinenet.com/hiv_vs_aids/article.htm
